,YEAR,EIND,TATM,iter,orig_sol,sim_ssp,sim_damages,sim_ecs
238,2045,5.168775618175302,1.5126542777,4,Inequality,1,1,2.500000
239,2050,5.281407740743,1.5112583161,4,Inequality,1,1,2.500000
240,2055,5.314235669111399,1.4968959399,4,Inequality,1,1,2.500000
241,2060,5.137772636991706,1.4864589092,4,Inequality,1,1,2.500000
242,2065,4.981123272824226,1.4808583696,4,Inequality,1,1,2.500000
243,2070,4.70667795846694,1.4781837984,4,Inequality,1,1,2.500000
244,2075,4.32230448872831,1.4774492672,4,Inequality,1,1,2.500000
245,2080,3.85396090525763,1.4776220706,4,Inequality,1,1,2.500000
246,2085,3.3341702850398764,1.4778885082,4,Inequality,1,1,2.500000
247,2090,2.7898772791089304,1.477682642,4,Inequality,1,1,2.500000
248,2095,2.2506801764606896,1.4766577854,4,Inequality,1,1,2.500000
249,2100,1.7419554228747498,1.4746254202,4,Inequality,1,1,2.500000
250,2105,1.2898507183361394,1.4715364876,4,Inequality,1,1,2.500000
251,2110,0.9068697363976,1.4674521116,4,Inequality,1,1,2.500000
252,2115,0.5857336777119002,1.4625370599,4,Inequality,1,1,2.500000
253,2120,0.32313206902400005,1.457004918,4,Inequality,1,1,2.500000
254,2125,0.11455319877964994,1.4510368563,4,Inequality,1,1,2.500000
255,2130,-0.050557657852570076,1.4447913303,4,Inequality,1,1,2.500000
256,2135,-0.12602236608981007,1.4384061429,4,Inequality,1,1,2.500000
257,2140,-0.17292904850725002,1.4319786426,4,Inequality,1,1,2.500000
258,2145,-0.21307568318207995,1.4257827275,4,Inequality,1,1,2.500000
259,2150,-0.24863775029631005,1.419878568,4,Inequality,1,1,2.500000
260,2155,-0.28031675312442805,1.4142183326,4,Inequality,1,1,2.500000
261,2160,-0.30767529369889995,1.4087469307,4,Inequality,1,1,2.500000
262,2165,-0.329429860371799,1.4034204898,4,Inequality,1,1,2.500000
263,2170,-0.34487072362422005,1.3982089943,4,Inequality,1,1,2.500000
264,2175,-0.35308401843684006,1.3930964488,4,Inequality,1,1,2.500000
265,2180,-0.35190707136522004,1.3880762217,4,Inequality,1,1,2.500000
266,2185,-0.34183914214631994,1.3831497345,4,Inequality,1,1,2.500000
267,2190,-0.32478591690518005,1.3783302768,4,Inequality,1,1,2.500000
268,2195,-0.30163320597807997,1.3736322401,4,Inequality,1,1,2.500000
269,2200,-0.23296009081217006,1.3690639358,4,Inequality,1,1,2.500000
270,2205,-0.13861096946127996,1.3646310937,4,Inequality,1,1,2.500000
271,2210,-0.05010437110326994,1.3604962005,4,Inequality,1,1,2.500000
272,2215,0.03360967586718,1.3567576845,4,Inequality,1,1,2.500000
